url,baseline_date,title_before,gsc_before,title_after,meta_after,h1_after,content_changes,measurement_start,measurement_end
https://www.pinedayasociadoshn.com/blog/derecho-laboral/riesgos-profesionales-accidentes,2026-08-04,"Accidentes Laborales Honduras: Cobertura Legal","score=1 imp=0 ctr=0 pos=0","Accidentes Laborales Honduras: Cobertura Legal","Sus derechos ante accidentes y enfermedades laborales en Honduras: cobertura del IHSS, obligaciones del empleador y acciones legales.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana,2026-08-04,"Reagrupación Familiar España para Hondureños","score=1 imp=0 ctr=0 pos=0","Reagrupación Familiar España para Hondureños","Requisitos de ingresos, vivienda y proceso paso a paso para la reagrupación familiar en España para hondureños.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-laboral/jornada-laboral-horas-extra-descansos-honduras,2026-08-04,"Jornada Laboral en Honduras: Horas Extra y Recargos","score=1 imp=0 ctr=0 pos=0","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-penal/delitos-mas-comunes-honduras,2026-08-04,"Delitos Más Comunes en Honduras | Pineda y Asociados","score=1 imp=0 ctr=0 pos=0","Delitos más comunes en Honduras","Cuáles son los delitos más frecuentes en Honduras, cómo se sancionan según el Código Penal y qué hacer ante una denuncia o acusación.","Delitos más comunes en Honduras",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-penal/audiencia-inicial-proceso-penal-honduras,2026-08-04,"Audiencia inicial en Honduras: proceso y preparación","score=1 imp=0 ctr=0 pos=0","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/union-de-hecho-requisitos-derechos-honduras,2026-08-04,"Unión de Hecho en Honduras: Requisitos y Derechos","score=1 imp=0 ctr=0 pos=0","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/asuntos-familiares-honduras-espana,2026-08-04,"Asuntos Familiares Honduras desde España","score=1 imp=0 ctr=0 pos=0","Asuntos familiares en Honduras desde España","Cómo resolver divorcios, herencias y pensiones en Honduras desde España con representación legal: trámites y poderes necesarios.","Asuntos familiares en Honduras desde España",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/poder-desde-espana-para-tramites-honduras,2026-08-04,"Poder Notarial España-Honduras: Guía y Trámites","score=1 imp=0 ctr=0 pos=0","Poder notarial desde España para trámites en Honduras","Cómo otorgar un poder notarial desde España para trámites en Honduras: requisitos, apostilla, traducción y validez legal.","Poder notarial desde España para trámites en Honduras",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/hondurenos-espana-documentos,2026-08-04,"Documentos Legales Hondureños desde España","score=1 imp=0 ctr=0 pos=0","Documentos Legales Hondureños desde España","Cómo tramitar documentos legales hondureños desde España: apostilla, RNP, antecedentes penales y consulados.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-laboral/demanda-laboral-choluteca,2026-08-04,"Demanda Laboral Choluteca: Pasos | Pineda y Asociados","score=1 imp=0 ctr=0 pos=0","Demanda laboral en Choluteca: pasos y plazos","Cómo presentar una demanda laboral en Choluteca: plazos, artículos del Código de Trabajo y pasos para reclamar sus derechos.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
