url,slug,gsc_evidence,current_title,current_meta,current_h1,classification,approved_title,approved_meta,reason,legal_notes
https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/presentar-denuncia-conadeh-honduras,presentar-denuncia-conadeh-honduras,"score=27 imp=152 ctr=3.29 pos=16.7","Denuncia CONADEH Honduras: Guía Completa","Aprenda cómo presentar una queja ante el CONADEH en Honduras. Conozca el procedimiento, casos, facultades y las 3 oficinas regionales clave para defender","Cómo Presentar una Denuncia ante el CONADEH en",APPROVED_TITLE_META_H1,"Cómo presentar una denuncia ante el CONADEH en Honduras","Cómo presentar una queja ante el CONADEH en Honduras: procedimiento, tipos de casos, facultades y oficinas regionales.","Title con 'Guía Completa' (plantilla), H1 truncado ('en') y meta truncada. Se alinea title/H1 a la intención y se completa la meta.","METADATA_ONLY: procedimiento/facultades ya presentes en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-honduras,defensa-penal-honduras,"score=27 imp=8 ctr=0 pos=0","Defensa penal en Honduras: guía de las primeras actuaciones","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","Defensa penal en Honduras: guía de las primeras actuaciones",KEEP_NO_CHANGE,"Defensa penal en Honduras: guía de las primeras actuaciones","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","Datos muy bajos (8 impresiones). Title/meta/H1 adecuados. Se difiere (INSUFFICIENT_DATA).","Sin cambios."
https://www.pinedayasociadoshn.com/blog/practica-legal/preguntas-frecuentes-antes-contratar-abogado-honduras,preguntas-frecuentes-antes-contratar-abogado-honduras,"score=27 imp=16 ctr=0 pos=0","Cómo Elegir Abogado en Honduras: Preguntas Clave","Descubra las preguntas esenciales antes de contratar un abogado en Honduras. Asegure experiencia, honorarios claros y la mejor estrategia legal.","10 preguntas que debe hacer antes de contratar",KEEP_NO_CHANGE,"Cómo Elegir Abogado en Honduras: Preguntas Clave","Descubra las preguntas esenciales antes de contratar un abogado en Honduras. Asegure experiencia, honorarios claros y la mejor estrategia legal.","Datos muy bajos (16 impresiones). Title adecuado. Se difiere (INSUFFICIENT_DATA).","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-civil/errores-contratos-civiles-honduras,errores-contratos-civiles-honduras,"score=27 imp=18 ctr=0 pos=0","Errores Comunes al Redactar Contratos en Honduras","Evite litigios costosos. Conozca los 8 errores clave al redactar contratos civiles y mercantiles en Honduras y cómo prevenirlos.","Redactar Contratos en Honduras",KEEP_NO_CHANGE,"Errores Comunes al Redactar Contratos en Honduras","Evite litigios costosos. Conozca los 8 errores clave al redactar contratos civiles y mercantiles en Honduras y cómo prevenirlos.","Datos muy bajos (18 impresiones). Title/meta adecuados. Se difiere (INSUFFICIENT_DATA).","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-laboral/acoso-laboral-mobbing-honduras,acoso-laboral-mobbing-honduras,"score=26 imp=6 ctr=0 pos=0","Acoso Laboral en Honduras: Leyes | Pineda y Asociados","Conozca cómo identificar y denunciar el acoso laboral en Honduras. Explicación del despido indirecto (Art. 114) y el acoso vertical (Art. 294 CP).","Acoso Laboral en Honduras: Cómo Identificarlo y Denunciarlo Legalmente",APPROVED_TITLE_META,"Acoso laboral en Honduras: leyes y denuncia","Conozca cómo identificar y denunciar el acoso laboral en Honduras. Explicación del despido indirecto (Art. 114) y el acoso vertical (Art. 294 CP).","Title con marca '| Pineda y Asociados'. La meta cita artículos ya presentes en el body y se conserva. H1 ya válido.","METADATA_ONLY: artículos 114/294 ya citados en el body (restatement)."
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/contratos-confidencialidad-nda-secreto-comercial-honduras,contratos-confidencialidad-nda-secreto-comercial-honduras,"score=26 imp=95 ctr=3.16 pos=3.5","Acuerdo de Confidencialidad Honduras | Pineda y Asociados","Proteja sus secretos comerciales con un Acuerdo de Confidencialidad (NDA) en Honduras. Conozca cláusulas esenciales, marco legal y errores comunes.","Contratos de confidencialidad (NDA)",APPROVED_TITLE_META,"Acuerdo de confidencialidad (NDA) en Honduras","Proteja sus secretos comerciales con un Acuerdo de Confidencialidad (NDA) en Honduras. Conozca cláusulas esenciales, marco legal y errores comunes.","Title con marca. H1 ya válido.","METADATA_ONLY: cláusulas/marco legal ya presentes en el body."
https://www.pinedayasociadoshn.com/blog/derecho-administrativo/recurso-de-amparo-honduras-guia-completa,recurso-de-amparo-honduras-guia-completa,"score=26 imp=117 ctr=1.71 pos=17","Recurso de Amparo Honduras: Guía y Procedimiento","Conozca el Recurso de Amparo en Honduras: para qué sirve, cuándo procede, plazos y procedimiento ante la Sala de lo Constitucional de la CSJ.","Recurso de Amparo en Honduras: Guía Completa y Procedimiento Actualizado",APPROVED_TITLE_META_H1,"Recurso de amparo en Honduras: procedimiento y plazos","El Recurso de Amparo en Honduras: para qué sirve, cuándo procede, plazos y procedimiento ante la Sala de lo Constitucional de la CSJ.","Title y H1 con 'Guía (Completa)' y H1 con 'Actualizado' (no verificado). Se alinean y se neutraliza la meta.","METADATA_ONLY: procedimiento/plazos ante la CSJ ya presentes en el body; sin cifras nuevas."
https://www.pinedayasociadoshn.com/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer,ejecucion-hipotecaria-honduras-que-hacer,"score=25 imp=77 ctr=6.49 pos=3.3","Ejecución Hipotecaria Honduras | Pineda y Asociados","Conozca sus derechos y opciones legales ante una ejecución hipotecaria en Honduras. Evite la pérdida de su vivienda con asesoría experta.","Ejecución hipotecaria en Honduras: qué hacer",APPROVED_TITLE_META,"Ejecución hipotecaria en Honduras: qué hacer","Sus derechos y opciones legales ante una ejecución hipotecaria en Honduras: pasos para proteger su vivienda.","Title con marca y meta con 'asesoría experta' (promocional). H1 ya válido.","METADATA_ONLY: sin hechos nuevos; derechos/opciones ya en el body."
https://www.pinedayasociadoshn.com/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras,clausulas-abusivas-contratos-como-detectar-honduras,"score=25 imp=45 ctr=4.44 pos=4","Cláusulas Abusivas Honduras: Anulación y Defensa","Detecte y anule cláusulas abusivas en contratos en Honduras. Conozca sus derechos y los pasos legales para defenderse. ¡Consulte a nuestros abogados!","Cláusulas abusivas en Honduras",APPROVED_TITLE_META,"Cláusulas abusivas en Honduras: cómo detectarlas","Cómo detectar y anular cláusulas abusivas en contratos en Honduras: sus derechos y los pasos legales para defenderse.","Title con orden atípico (sin 'en') y meta con '¡Consulte a nuestros abogados!' (promocional). H1 ya válido.","METADATA_ONLY: sin hechos nuevos; derechos/pasos ya en el body."
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/adopcion-requisitos-proceso-honduras,adopcion-requisitos-proceso-honduras,"score=25 imp=5 ctr=0 pos=0","Adopción en Honduras: Requisitos y Proceso Legal","Descubra los requisitos, etapas y base legal para la adopción en Honduras. Asesoría legal especializada para proteger el interés superior del menor.","Adopción en Honduras: Requisitos y Proceso",KEEP_NO_CHANGE,"Adopción en Honduras: Requisitos y Proceso Legal","Descubra los requisitos, etapas y base legal para la adopción en Honduras. Asesoría legal especializada para proteger el interés superior del menor.","Datos muy bajos (5 impresiones). Title/meta/H1 adecuados. Se difiere (INSUFFICIENT_DATA).","Sin cambios."
