url,slug,batch,reason,required_dependency,current_status,next_review_date
"https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-choluteca",abogado-penalista-choluteca,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-amapala-valle",abogados-en-amapala-valle,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-choluteca",abogados-en-choluteca,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-marcovia-choluteca",abogados-en-marcovia-choluteca,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-nacaome",abogados-en-nacaome,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-pespire-choluteca",abogados-en-pespire-choluteca,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-lorenzo",abogados-en-san-lorenzo,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-marcos-de-colon-choluteca",abogados-en-san-marcos-de-colon-choluteca,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/noticias-legales/actualizacion-legislativa-mensual-honduras",actualizacion-legislativa-mensual-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/adopcion-requisitos-proceso-honduras",adopcion-requisitos-proceso-honduras,4,"Datos muy bajos (5 impresiones). Title/meta/H1 adecuados. Se difiere (INSUFFICIENT_DATA).","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras",allanamiento-ilegal-violacion-domicilio-honduras,5,"Title/meta/H1 alineados con la intención y de calidad.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/arbitraje-cuando-conviene-como-funciona-honduras",arbitraje-cuando-conviene-como-funciona-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-penal/audiencia-inicial-proceso-penal-honduras",audiencia-inicial-proceso-penal-honduras,6,"Title/meta/H1 alineados y de calidad.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/calcular-prestaciones-laborales-honduras",calcular-prestaciones-laborales-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-consultar-impugnar-honduras",central-riesgos-consultar-impugnar-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-aduanero/codigo-aduanero-centroamericano",codigo-aduanero-centroamericano,2,"Title/meta/H1 alineados (CAUCA/RECAUCA) y CTR 3.13 saludable.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/como-elegir-buen-abogado-guia-practica-honduras",como-elegir-buen-abogado-guia-practica-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/practica-legal/como-obtener-rtn-personas-empresas-honduras",como-obtener-rtn-personas-empresas-honduras,3,"Datos muy bajos (2 impresiones, posición 18). Title/meta válidos. Se difiere (INSUFFICIENT_DATA).","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/constitucion-empresas-honduras-pasos-legales",constitucion-empresas-honduras-pasos-legales,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-civiles-honduras-errores-comunes",contratos-civiles-honduras-errores-comunes,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-franquicia-aspectos",contratos-franquicia-aspectos,8,"Title/meta/H1 alineados y de calidad.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-proteger-negocio",contratos-mercantiles-proteger-negocio,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras",cuando-necesito-abogado-penalista-honduras,1,"NO_CHANGE","",NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-prescribe-delito-en-honduras",cuando-prescribe-delito-en-honduras,2,"Title/meta/H1 alineados con la intención y de calidad; posición 4.4 adecuada.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras",danos-perjuicios-indemnizacion-honduras,3,"Title/meta/H1 alineados y de calidad; CTR 4.34 y posición 5.9 saludables.","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-honduras",defensa-penal-honduras,4,"Datos muy bajos (8 impresiones). Title/meta/H1 adecuados. Se difiere (INSUFFICIENT_DATA).","",KEEP_NO_CHANGE,2026-09-01
"https://www.pinedayasociadoshn.com/blog/derecho-bancario/derechos-consumidor-financiero-cnbs-honduras",derechos-consumidor-financiero-cnbs-honduras,-,"No publicado (no indexable); sin demanda GSC. No requiere noindex.","",UNPUBLISHED,2026-09-01
