url,slug,gsc_evidence,current_title,current_meta,current_h1,classification,approved_title,approved_meta,reason,legal_notes
https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importar-china-guia-aduanera,importar-china-guia-aduanera,"score=0 imp=0 ctr=0 pos=0","Importar desde China a Honduras | Pineda y Asociados","Guía legal para importar desde China a Honduras. Conozca requisitos, documentación, impuestos y riesgos aduaneros. Asesoría experta.","Importar desde China a Honduras: Guía Legal",APPROVED_TITLE_META_H1,"Importar desde China a Honduras: requisitos y riesgos","Requisitos, documentación, impuestos y riesgos aduaneros para importar desde China a Honduras.","Marca en title y H1/meta con 'Guía Legal'/'Guía completa'.","METADATA_ONLY: sin hechos nuevos; riesgos aduaneros ya en el body."
https://www.pinedayasociadoshn.com/blog/derecho-civil/usucapion-prescripcion-adquisitiva-honduras,usucapion-prescripcion-adquisitiva-honduras,"score=0 imp=0 ctr=0 pos=0","Usucapión en Honduras: requisitos y proceso judicial","Qué es la prescripción adquisitiva, qué elementos deben acreditarse y cómo se tramita judicialmente una pretensión de usucapión en Honduras.","Usucapión en Honduras: requisitos y proceso judicial",KEEP_NO_CHANGE,"Usucapión en Honduras: requisitos y proceso judicial","Qué es la prescripción adquisitiva, qué elementos deben acreditarse y cómo se tramita judicialmente una pretensión de usucapión en Honduras.","Title/meta/H1 alineados y de calidad.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-civil/compraventa-inmuebles-aspectos-legales-honduras,compraventa-inmuebles-aspectos-legales-honduras,"score=0 imp=0 ctr=0 pos=0","Compraventa de Inmuebles en Honduras | Pineda y Asociados","Guía completa sobre la compraventa de inmuebles en Honduras. Conozca el marco legal, pasos, impuestos y errores comunes.","Compraventa de Inmuebles en Honduras",APPROVED_TITLE_META,"Compraventa de inmuebles en Honduras: pasos y requisitos","El marco legal, pasos, impuestos y errores comunes en la compraventa de inmuebles en Honduras.","Marca en title y meta con 'Guía completa'. H1 ya válido.","METADATA_ONLY: sin cifras nuevas; marco legal ya en el body."
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/registrar-marca-honduras-paso-a-paso,registrar-marca-honduras-paso-a-paso,"score=0 imp=0 ctr=0 pos=0","Registro de Marca en Honduras: Guía Paso a Paso","Aprenda cómo registrar su marca en Honduras. Conozca el proceso, costos, duración y riesgos de no hacerlo ante el Instituto de la Propiedad.","Registrar una Marca en Honduras",APPROVED_TITLE_META,"Registrar una marca en Honduras: proceso paso a paso","El proceso, costos, duración y riesgos de no registrar su marca en Honduras ante el Instituto de la Propiedad.","Title con 'Guía Paso a Paso' (plantilla) y meta con 'Aprenda'. H1 ya válido.","METADATA_ONLY: Instituto de la Propiedad ya citado en el body; sin cifras nuevas."
https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/permiso-trabajo-extranjeros-honduras,permiso-trabajo-extranjeros-honduras,"score=0 imp=0 ctr=0 pos=0","Permiso de Trabajo Honduras: Requisitos | Pineda y Asociados","Conozca los requisitos, el proceso y las sanciones del permiso de trabajo para extranjeros en Honduras. Asesoría legal migratoria y laboral.","Permiso de Trabajo en Honduras",APPROVED_TITLE_META,"Permiso de trabajo para extranjeros en Honduras","Requisitos, proceso y sanciones del permiso de trabajo para extranjeros en Honduras.","Marca en title y meta con 'Conozca... Asesoría legal'. H1 ya válido.","METADATA_ONLY: sin hechos nuevos; sanciones ya en el body."
https://www.pinedayasociadoshn.com/blog/practica-legal/proceso-consulta-legal-pineda,proceso-consulta-legal-pineda,"score=0 imp=0 ctr=0 pos=0","Consulta Legal Honduras: Preparación y Proceso","Aprenda cómo preparar su consulta legal en Honduras. Documentación, qué esperar y errores comunes. Asesoría profesional garantizada.","Cómo preparar tu consulta legal en Honduras",APPROVED_TITLE_META_H1,"Consulta legal en Honduras: preparación y proceso","Cómo preparar su consulta legal en Honduras: documentación, qué esperar y errores comunes.","H1 informal ('tu') y meta con 'Aprenda... garantizada'.","METADATA_ONLY: sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/practica-legal/tramites-legales-nacaome,tramites-legales-nacaome,"score=0 imp=0 ctr=0 pos=0","Trámites Legales Nacaome: Poderes | Pineda y Asociados","Realice sus trámites legales en Nacaome, Valle. Expertos en poderes, contratos, escrituras y demandas. Asesoría legal integral en Honduras.","Trámites Legales en Nacaome: Poderes",APPROVED_TITLE_META,"Trámites legales en Nacaome: poderes y contratos","Trámites legales en Nacaome, Valle: poderes, contratos, escrituras y demandas.","Marca en title y meta con 'Realice... Asesoría legal integral'. H1 ya válido.","METADATA_ONLY: sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/practica-legal/como-preparar-demanda-guia-no-abogados-honduras,como-preparar-demanda-guia-no-abogados-honduras,"score=0 imp=0 ctr=0 pos=0","Redactar Demanda en Honduras sin Abogado","Aprenda a redactar una demanda en Honduras sin abogado. Conozca los requisitos, errores comunes y cuándo es obligatorio un profesional del derecho.","Cómo redactar una demanda en Honduras (sin",APPROVED_TITLE_META_H1,"Redactar una demanda en Honduras sin abogado","Cómo redactar una demanda en Honduras sin abogado: requisitos, errores comunes y cuándo es obligatorio un profesional del derecho.","H1 truncado ('(sin'). Se completa y alinea con el title.","METADATA_ONLY: sin hechos nuevos; obligatoriedad ya en el body."
https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/visas-inversion-rentista-pensionado,visas-inversion-rentista-pensionado,"score=0 imp=0 ctr=0 pos=0","Visas de Inversión, Rentista y Pensionado","Obtenga la residencia en Honduras con visas de Inversionista ($50k), Rentista ($2.5k/mes) o Pensionado ($1.5k/mes). Requisitos y proceso ante la DGME.","Guía de Visas de Inversión, Rentista y Pensionado",APPROVED_TITLE_META_H1,"Visas de inversión, rentista y pensionado en Honduras","Residencia en Honduras mediante visas de inversionista, rentista o pensionado: requisitos y proceso ante la DGME.","H1 con 'Guía de' (plantilla). Se omiten las cifras de la meta (el body las conserva).","METADATA_ONLY: se retiran montos específicos de la meta (el body los conserva intactos)."
https://www.pinedayasociadoshn.com/blog/derecho-administrativo/despido-empleados-publicos-honduras,despido-empleados-publicos-honduras,"score=0 imp=0 ctr=0 pos=0","Despido Empleados Públicos Honduras | Pineda y Asociados","Conozca los derechos y recursos ante el despido de empleados públicos en Honduras. Abogados explican Ley de Servicio Civil, plazos y procedimientos.","Despido de empleados públicos en Honduras",APPROVED_TITLE_META,"Despido de empleados públicos en Honduras","Los derechos y recursos ante el despido de empleados públicos en Honduras: Ley de Servicio Civil, plazos y procedimientos.","Marca en title y meta con 'Conozca... Abogados explican'. H1 ya válido.","METADATA_ONLY: Ley de Servicio Civil ya citada en el body; sin cifras nuevas."
https://www.pinedayasociadoshn.com/blog/derecho-administrativo/sanciones-administrativas-como-defenderse-honduras,sanciones-administrativas-como-defenderse-honduras,"score=0 imp=0 ctr=0 pos=0","Sanciones Administrativas Honduras | Pineda y Asociados","Conozca los tipos de sanciones administrativas en Honduras, plazos para impugnar (10 días hábiles) y vías de recurso. Asesoría legal para su defensa.","Sanciones Administrativas en Honduras",APPROVED_TITLE_META,"Sanciones administrativas en Honduras: cómo defenderse","Los tipos de sanciones administrativas en Honduras, los plazos para impugnar y las vías de recurso.","Marca en title y meta con 'Conozca... Asesoría legal'. H1 ya válido.","METADATA_ONLY: se omite la cifra de plazos de la meta (el body la conserva intacta)."
https://www.pinedayasociadoshn.com/blog/derecho-civil/servicios-legales-empresas-sur-honduras,servicios-legales-empresas-sur-honduras,"score=0 imp=0 ctr=0 pos=0","Servicios Legales Empresas Sur Honduras | Pineda y Asociados","Descubra los servicios legales para empresas en el sur de Honduras: corporativo, penal, laboral, civil y más. Asesoría experta y local. ¡Contáctenos!","Guía de Servicios Legales para Empresas en el Sur",APPROVED_TITLE_META_H1,"Servicios legales para empresas en el sur de Honduras","Servicios legales para empresas en el sur de Honduras: corporativo, penal, laboral y civil.","Marca en title, H1 con 'Guía de' y meta con '¡Contáctenos!'.","METADATA_ONLY: sin hechos nuevos."
