url,query_cluster,gsc_clicks_90,gsc_impressions_90,gsc_ctr,gsc_position,bing_clicks,bing_impressions,organic_sessions,key_events,conversion_rate,content_action,cannibalization,legal_risk,recommended_action,priority_score
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras","","0","201","0","10.8","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","55"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","","0","48","0","11","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","50"
"https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derecho-de-peticion-instituciones-honduras","","0","87","0","8.8","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","49"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/cobro-deudas-choluteca","","0","27","0","8.5","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","46"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa","","7","1286","0.54","10.4","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","46"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/accidente-transito-choluteca","","0","28","0","11.5","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","46"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","","16","913","1.75","9","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","44"
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras","","9","557","1.62","10","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","44"
"https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-lorenzo","","0","31","0","6","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","42"
"https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","","10","447","2.24","10.9","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","42"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","","24","1293","1.86","7.5","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","42"
"https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","","37","2205","1.68","5.5","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","41"
"https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","","6","367","1.63","9.6","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","40"
"https://www.pinedayasociadoshn.com/blog/proceso-penal/juicio-oral-etapas-que-esperar-honduras","","4","155","2.58","9.8","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","40"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras","","0","2","0","10.5","0","0","0","0","0","KEEP","","lawyer_review_pending","KEEP","40"
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa","","4","304","1.32","11.4","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","40"
"https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/nacionalidad-espanola-para-hondurenos-residencia-plazos","","1","398","0.25","8","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","40"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","","13","667","1.95","8","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","39"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-menores-edad-honduras","","1","102","0.98","10.3","0","0","0","0","0","UPDATE","","lawyer_review_pending","update_title_meta_h1","38"
