url,baseline_date,title_before,gsc_before,title_after,meta_after,h1_after,content_changes,measurement_start,measurement_end
https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras,2026-08-04,"Reclama Cargos Indebidos Tarjeta Crédito Honduras","score=0 imp=0 ctr=0 pos=0","Reclamar cargos indebidos en tarjeta de crédito en Honduras","Sus derechos y cómo reclamar cargos indebidos en su tarjeta de crédito en Honduras, según la Ley del Consumidor y la CNBS.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras,2026-08-04,"Bufete Multidisciplinario Honduras | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Bufete multidisciplinario en Honduras","Cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene para empresas y familias.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras,2026-08-04,"Zonas Libres (ZOLI) Honduras: Beneficios","score=0 imp=0 ctr=0 pos=0","Zonas Libres (ZOLI) Honduras: Beneficios","Beneficios fiscales y requisitos para operar en Zonas Libres (ZOLI) de Honduras, incluida la inversión extranjera directa.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales,2026-08-04,"Licencia Sanitaria Honduras: Guía Completa","score=0 imp=0 ctr=0 pos=0","Licencia sanitaria en Honduras: requisitos y trámites","Requisitos y trámites para obtener la licencia sanitaria en Honduras ante SESAL y ARSA.","Licencia sanitaria en Honduras: requisitos y trámites",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras,2026-08-04,"Cheques sin Fondos en Honduras | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Cheques sin fondos en Honduras: cómo actuar","Cómo actuar ante un cheque sin fondos en Honduras: plazos, protesto notarial, acción cambiaria y denuncia penal.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-bancario/creditos-reestructuracion-deudas,2026-08-04,"Reestructuración de Deuda en Honduras | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Reestructuración de deuda en Honduras: cómo negociarla","Cómo reestructurar su deuda en Honduras: modificar plazos, tasas e intereses con el respaldo legal.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/tributario/defensa-sar-choluteca,2026-08-04,"Defensa ante el SAR en Choluteca | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Defensa ante el SAR en Choluteca","Asesoría legal para la defensa ante fiscalizaciones del SAR en Choluteca: plazos, procedimientos y sus derechos.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir,2026-08-04,"Mediación vs Juicio en Honduras | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Mediación vs juicio en Honduras: cuál elegir","Diferencias clave entre mediación y juicio en Honduras y cuándo conviene usar cada método para resolver conflictos legales.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/derechos-de-autor-proteccion-registro-honduras,2026-08-04,"Derechos de Autor en Honduras: Protección","score=0 imp=0 ctr=0 pos=0","Derechos de Autor en Honduras: Protección","Cómo proteger sus obras literarias y artísticas en Honduras: la Ley, el registro ante DIGEPIH y sus derechos morales y patrimoniales.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras,2026-08-04,"Mediación Familiar Obligatoria en Honduras","score=0 imp=0 ctr=0 pos=0","Mediación Familiar Obligatoria en Honduras","Si la mediación familiar es obligatoria en Honduras antes de un juicio: proceso, cuándo aplica y cuándo no.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras,2026-08-04,"Impuestos Pequeñas Empresas Honduras: Guía SAR","score=0 imp=0 ctr=0 pos=0","Impuestos para pequeñas empresas en Honduras","Los impuestos (ISV, ISR), retenciones y aportaciones (IHSS, RAP) de las pequeñas empresas en Honduras y sus obligaciones ante el SAR.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/proteccion-marcas-competencia-desleal,2026-08-04,"Protección de Marcas vs Competencia Desleal","score=0 imp=0 ctr=0 pos=0","Protección de Marcas vs Competencia Desleal","Cómo defender su marca contra la competencia desleal en Honduras: acciones legales, marco normativo e importancia del registro.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/refugio-asilo-solicitarlo,2026-08-04,"Refugio y Asilo en Honduras: Proceso | Pineda y Asociados","score=0 imp=0 ctr=0 pos=0","Refugio y asilo en Honduras: proceso y requisitos","El proceso y los requisitos para solicitar refugio o asilo en Honduras: protección internacional y documentación.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
