url,baseline_date,title_before,gsc_before,title_after,meta_after,h1_after,content_changes,measurement_start,measurement_end
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026,2026-08-04,"Pensión Alimenticia en Honduras 2026: Porcentajes y Cálculo","score=31 imp=2399 ctr=4.34 pos=4.2","Pensión Alimenticia en Honduras 2026: Porcentajes y Cálculo","Cómo calcula el juez la pensión alimenticia en Honduras en 2026: proporcionalidad según las necesidades del menor y los ingresos del progenitor.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras,2026-08-04,"Apelación y Casación Penal en Honduras | Pineda y Asociados","score=31 imp=337 ctr=3.56 pos=3.2","Apelación y casación penal en Honduras: cómo recurrir","Guía sobre cómo recurrir una sentencia penal en Honduras. Diferencias entre apelación y casación ante la CSJ, plazos legales y errores comunes.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importaciones-san-lorenzo,2026-08-04,"Importaciones San Lorenzo | Pineda y Asociados","score=30 imp=48 ctr=2.08 pos=7","Importaciones en San Lorenzo: requisitos y pasos","Requisitos, impuestos (DAI, ISV) y pasos para importar por San Lorenzo, Honduras, conforme al CAUCA y la ARSA.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-penal/antejuicio-en-honduras,2026-08-04,"Antejuicio en Honduras: Proceso | Pineda y Asociados","score=30 imp=50 ctr=2 pos=5.7","Antejuicio en Honduras: qué es y cómo funciona","Entienda el antejuicio en Honduras: a quién aplica, cómo funciona el proceso y su marco legal. Protege la función pública, no la impunidad.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras,2026-08-04,"Daños y Perjuicios en Honduras: Cómo Reclamar","score=29 imp=1107 ctr=4.34 pos=5.9","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic,2026-08-04,"Arbitraje Comercial en la CCIC | Pineda y Asociados","score=28 imp=24 ctr=0 pos=0","Arbitraje y conciliación en la CCIC de Honduras","Cómo resolver disputas comerciales mediante conciliación y arbitraje en el Centro de la CCIC de San Pedro Sula: proceso y ley aplicable.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras,2026-08-04,"Derechos ARCO en Honduras: Cómo Ejercerlos","score=28 imp=56 ctr=7.14 pos=6","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras,2026-08-04,"Incumplimiento de Contrato en Honduras | Pineda y Asociados","score=28 imp=26 ctr=0 pos=0","Incumplimiento de contrato en Honduras: qué hacer","Sepa qué hacer ante un incumplimiento de contrato en Honduras. Conozca sus derechos, plazos y acciones legales según el Código de Comercio.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-civil/testamentos-sucesiones-herencia-honduras,2026-08-04,"Testamentos y sucesiones en Honduras | Pineda y Asociados","score=28 imp=139 ctr=2.88 pos=4.3","Testamentos y sucesiones en Honduras: trámites","Conozca cómo se tramita una sucesión en Honduras, qué cambia si existe testamento y qué documentos reunir para el trámite hereditario.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-bancario/derechos-consumidor-financiero-honduras-cnbs,2026-08-04,"Derechos Consumidor Financiero Honduras | Pineda y Asociados","score=28 imp=27 ctr=0 pos=0","Derechos del consumidor financiero en Honduras","Conozca sus derechos como consumidor financiero en Honduras. Aprenda a reclamar ante bancos y la CNBS por cobros indebidos o prácticas abusivas.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
