url,baseline_date,title_before,gsc_before,title_after,meta_after,h1_after,content_changes,measurement_start,measurement_end
https://www.pinedayasociadoshn.com/blog/derecho-civil/cobro-deudas-choluteca,2026-08-04,"Cobro Judicial de Deudas en Choluteca | Pineda y Asociados","score=46 imp=27 ctr=0 pos=8.5","Cobro judicial de deudas en Choluteca","Cómo reclamar judicialmente el cobro de deudas en Choluteca: proceso, plazos, base legal y documentos que necesita en Honduras.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-civil/accidente-transito-choluteca,2026-08-04,"Accidentes de Tránsito en Choluteca | Pineda y Asociados","score=46 imp=28 ctr=0 pos=11.5","Accidente de tránsito en Choluteca: cómo reclamar","Qué hacer tras un accidente de tránsito en Choluteca y cómo reclamar indemnización: pasos, marco legal y derechos de la víctima.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras,2026-08-04,"Tipos de Sociedades Mercantiles en Honduras","score=40 imp=2 ctr=0 pos=10.5","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras,2026-08-04,"Denuncia vs querella y acusación en Honduras en Honduras (20","score=37 imp=332 ctr=2.71 pos=6.9","Denuncia, querella y acusación en Honduras: diferencias","Quién puede informar un delito, cómo participa la víctima y cuándo formaliza la acusación el Ministerio Público en Honduras.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras,2026-08-04,"Arrendamiento en Honduras: derechos y obligaciones","score=37 imp=334 ctr=0.9 pos=8","Arrendamiento en Honduras: derechos y obligaciones","Derechos y obligaciones de inquilinos y propietarios en Honduras: contrato, depósito, reparaciones, mora y desalojo.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-penal/fianza-medidas-cautelares-proceso-penal-honduras,2026-08-04,"Fianzas y Medidas Cautelares en Honduras","score=37 imp=105 ctr=0.95 pos=11.4","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras,2026-08-04,"Contratos Mercantiles en Honduras: Guía Esencial","score=37 imp=445 ctr=6.52 pos=7.1","Contratos mercantiles esenciales en Honduras","Los 5 contratos mercantiles esenciales en Honduras: compraventa, distribución, agencia, franquicia y suministro, y cómo proteger su empresa.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena,2026-08-04,"Naturalización en Honduras: Guía Completa 2026","score=36 imp=853 ctr=0.94 pos=8.9","Naturalización en Honduras: requisitos y proceso","Requisitos, documentos y el proceso para obtener la nacionalidad hondureña por naturalización ante el Congreso Nacional.","Naturalización en Honduras: requisitos y proceso",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras,2026-08-04,"Registro de Medicamentos en Honduras | Pineda y Asociados","score=35 imp=246 ctr=0.41 pos=7.3","Registro de medicamentos en Honduras: requisitos ARSA","Requisitos técnicos para el registro de medicamentos en Honduras ante la ARSA: certificado OMS, buenas prácticas de manufactura, estabilidad y etiquetado.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras,2026-08-04,"Competencia Desleal Honduras: Denuncia y Leyes","score=35 imp=251 ctr=5.18 pos=7","Competencia desleal en Honduras: cómo denunciarla","Actos de competencia desleal en Honduras (confusión, engaño, denigración, secretos) y vías para denunciarlos: Instituto de la Propiedad y demanda judicial.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras,2026-08-04,"Registro sanitario ARSA Honduras: requisitos y pasos","score=34 imp=124 ctr=2.42 pos=7.7","Registro sanitario ARSA Honduras: requisitos y pasos","Qué productos necesitan registro sanitario ARSA en Honduras: requisitos, proceso paso a paso, vigencia y renovación para fabricantes e importadores.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-prescribe-delito-en-honduras,2026-08-04,"Prescripción Penal en Honduras: Plazos y Cálculo","score=34 imp=504 ctr=1.39 pos=4.4","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
https://www.pinedayasociadoshn.com/blog/derecho-penal/que-hacer-si-me-detienen-en-honduras,2026-08-04,"¿Qué hacer si me detienen en Honduras? Guía práctica","score=34 imp=421 ctr=1.19 pos=4.3","¿Qué hacer si me detienen en Honduras?","Recomendaciones generales para actuar con prudencia ante una detención y solicitar asistencia jurídica sin interferir con la actuación de la autoridad.","¿Qué hacer si me detienen en Honduras?",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/tributario/sar-notifica-fiscalizacion-que-hacer-honduras,2026-08-04,"Fiscalización SAR Honduras: Guía Completa","score=33 imp=25 ctr=4 pos=10","Fiscalización del SAR en Honduras: cómo responder","El proceso de fiscalización del SAR en Honduras: sus derechos, plazos, documentación necesaria y cómo impugnar liquidaciones.","sin cambio (h1 intacto)",metadata_only,2026-08-04,2026-09-01
https://www.pinedayasociadoshn.com/blog/derecho-aduanero/codigo-aduanero-centroamericano,2026-08-04,"CAUCA y RECAUCA en Honduras: Ley Aduanera","score=31 imp=64 ctr=3.13 pos=7.4","(sin cambio)","(sin cambio)","(sin cambio)",NO_CHANGE,,
