url,slug,gsc_evidence,current_title,current_meta,current_h1,classification,approved_title,approved_meta,reason,legal_notes
https://www.pinedayasociadoshn.com/blog/derecho-laboral/riesgos-profesionales-accidentes,riesgos-profesionales-accidentes,"score=1 imp=0 ctr=0 pos=0","Accidentes Laborales Honduras: Cobertura Legal","Conozca sus derechos ante accidentes y enfermedades laborales en Honduras. Cobertura del IHSS, obligaciones del empleador y acciones legales. Asesoría","Accidentes Laborales en Honduras: Cobertura Legal",APPROVED_METADATA_ONLY,"Accidentes Laborales Honduras: Cobertura Legal","Sus derechos ante accidentes y enfermedades laborales en Honduras: cobertura del IHSS, obligaciones del empleador y acciones legales.","Meta truncada ('Asesoría'). Title/H1 ya válidos.","METADATA_ONLY: IHSS/obligaciones ya en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana,reagrupacion-familiar-hondurenos-espana,"score=1 imp=0 ctr=0 pos=0","Reagrupación Familiar España para Hondureños","Guía completa sobre reagrupación familiar en España para hondureños. Requisitos de ingresos, vivienda y proceso paso a paso. Consulte a expertos.","Reagrupación familiar en España para hondureños",APPROVED_METADATA_ONLY,"Reagrupación Familiar España para Hondureños","Requisitos de ingresos, vivienda y proceso paso a paso para la reagrupación familiar en España para hondureños.","Meta con 'Guía completa' y 'Consulte a expertos'. Title/H1 ya válidos.","METADATA_ONLY: requisitos ya en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/derecho-laboral/jornada-laboral-horas-extra-descansos-honduras,jornada-laboral-horas-extra-descansos-honduras,"score=1 imp=0 ctr=0 pos=0","Jornada Laboral en Honduras: Horas Extra y Recargos","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","Jornada Laboral en Honduras: Horas Extra y Recargos",KEEP_NO_CHANGE,"Jornada Laboral en Honduras: Horas Extra y Recargos","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","Title/meta/H1 alineados y de calidad.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-penal/delitos-mas-comunes-honduras,delitos-mas-comunes-honduras,"score=1 imp=0 ctr=0 pos=0","Delitos Más Comunes en Honduras | Pineda y Asociados","Conoce cuáles son los delitos más frecuentes en Honduras según el nuevo Código Penal, sus penas y qué hacer en caso de denuncia o acusación.","Delitos Más Comunes en Honduras: Guía Legal",APPROVED_TITLE_META_H1,"Delitos más comunes en Honduras","Cuáles son los delitos más frecuentes en Honduras, cómo se sancionan según el Código Penal y qué hacer ante una denuncia o acusación.","Title con marca y H1 con 'Guía Legal' (plantilla). Se eliminan sin tocar el body.","METADATA_ONLY: el body conserva sus citas y penas intactas; la meta evita cifras nuevas."
https://www.pinedayasociadoshn.com/blog/derecho-penal/audiencia-inicial-proceso-penal-honduras,audiencia-inicial-proceso-penal-honduras,"score=1 imp=0 ctr=0 pos=0","Audiencia inicial en Honduras: proceso y preparación","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","Audiencia inicial en Honduras: proceso y preparación",KEEP_NO_CHANGE,"Audiencia inicial en Honduras: proceso y preparación","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","Title/meta/H1 alineados y de calidad.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/union-de-hecho-requisitos-derechos-honduras,union-de-hecho-requisitos-derechos-honduras,"score=1 imp=0 ctr=0 pos=0","Unión de Hecho en Honduras: Requisitos y Derechos","Requisitos para el reconocimiento de la unión de hecho en Honduras, derechos patrimoniales y sucesorios, y diferencias con el matrimonio.","Unión de Hecho en Honduras: Requisitos y Derechos",KEEP_NO_CHANGE,"Unión de Hecho en Honduras: Requisitos y Derechos","Requisitos para el reconocimiento de la unión de hecho en Honduras, derechos patrimoniales y sucesorios, y diferencias con el matrimonio.","Title/meta/H1 alineados y de calidad.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/asuntos-familiares-honduras-espana,asuntos-familiares-honduras-espana,"score=1 imp=0 ctr=0 pos=0","Asuntos Familiares Honduras desde España","Resuelva divorcios, herencias y pensiones en Honduras desde España con representación legal. Conozca los trámites y poderes necesarios. ¡Consulte hoy!","Resuelve asuntos familiares en Honduras desde",APPROVED_TITLE_META_H1,"Asuntos familiares en Honduras desde España","Cómo resolver divorcios, herencias y pensiones en Honduras desde España con representación legal: trámites y poderes necesarios.","H1 truncado ('...en Honduras desde') y meta con '¡Consulte hoy!'.","METADATA_ONLY: trámites/poderes ya en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/poder-desde-espana-para-tramites-honduras,poder-desde-espana-para-tramites-honduras,"score=1 imp=0 ctr=0 pos=0","Poder Notarial España-Honduras: Guía y Trámites","Aprenda a otorgar un poder notarial desde España para trámites en Honduras. Requisitos, apostilla, traducción y validez legal. ¡Asesoría experta!","Poder desde Espana para Tramites en Honduras",APPROVED_TITLE_META_H1,"Poder notarial desde España para trámites en Honduras","Cómo otorgar un poder notarial desde España para trámites en Honduras: requisitos, apostilla, traducción y validez legal.","Title con 'Guía' (plantilla), H1 sin tildes ('Espana/Tramites') y meta con '¡Asesoría experta!'.","METADATA_ONLY: requisitos/apostilla ya en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/hondurenos-espana-documentos,hondurenos-espana-documentos,"score=1 imp=0 ctr=0 pos=0","Documentos Legales Hondureños desde España","Aprenda a tramitar documentos legales hondureños desde España. Guía sobre apostilla, RNP, antecedentes penales y consulados. ¡Evite errores!","Documentos legales hondureños desde España",APPROVED_METADATA_ONLY,"Documentos Legales Hondureños desde España","Cómo tramitar documentos legales hondureños desde España: apostilla, RNP, antecedentes penales y consulados.","Meta con '¡Evite errores!'. Title/H1 ya válidos.","METADATA_ONLY: trámites ya en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/derecho-laboral/demanda-laboral-choluteca,demanda-laboral-choluteca,"score=1 imp=0 ctr=0 pos=0","Demanda Laboral Choluteca: Pasos | Pineda y Asociados","Sepa cómo presentar una demanda laboral en Choluteca, Honduras. Conozca plazos, artículos del Código de Trabajo y pasos a seguir para reclamar sus","Demanda Laboral en Choluteca (Honduras)",APPROVED_TITLE_META,"Demanda laboral en Choluteca: pasos y plazos","Cómo presentar una demanda laboral en Choluteca: plazos, artículos del Código de Trabajo y pasos para reclamar sus derechos.","Title con marca y meta truncada ('reclamar sus'). H1 ya válido.","METADATA_ONLY: Código de Trabajo ya citado en el body; sin cifras nuevas."
