url,slug,category,published,action_prev,clicks_90,impressions_90,final_decision,note
"https://www.pinedayasociadoshn.com/blog/tributario/devolucion-impuestos-como-solicitarla-honduras","devolucion-impuestos-como-solicitarla-honduras","tributario","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras","tarjetas-credito-intereses-cargos-defensa-honduras","derecho-bancario","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","registro-medicamentos-productos-farmaceuticos-honduras","regulacion-sanitaria","true","UPDATE","1","246","UPDATE_COMPLETED","Actualización propuesta (title/meta/H1) en patch manifest"
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras","contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras","registro-sanitario-alimentos-arsa-paso-a-paso-honduras","regulacion-sanitaria","true","UPDATE","3","124","UPDATE_COMPLETED","Actualización propuesta (title/meta/H1) en patch manifest"
"https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras","pineda-asociados-bufete-multidisciplinario-honduras","practica-legal","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","habilitacion-clinicas-hospitales","regulacion-sanitaria","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras","reformas-legales-recientes-honduras","noticias-legales","true","KEEP","0","16","KEEP_INDEXABLE","Indexable; demanda moderada"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-proteger-negocio","contratos-mercantiles-proteger-negocio","derecho-mercantil","false","NOINDEX","0","0","INSUFFICIENT_TRAFFIC_HISTORY","No publicado y sin demanda GSC; no requiere noindex (no indexable)"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-civiles-honduras-errores-comunes","contratos-civiles-honduras-errores-comunes","derecho-civil","false","NOINDEX","0","0","INSUFFICIENT_TRAFFIC_HISTORY","No publicado y sin demanda GSC; no requiere noindex (no indexable)"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","titulos-valores-cheques-sin-fondo-honduras","derecho-mercantil","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","naturalizacion-nacionalidad-hondurena","extranjeria-migracion","true","UPDATE","8","853","UPDATE_COMPLETED","Actualización propuesta (title/meta/H1) en patch manifest"
"https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","true","UPDATE","6","367","UPDATE_COMPLETED","Actualización propuesta (title/meta/H1) en patch manifest"
"https://www.pinedayasociadoshn.com/blog/derecho-bancario/creditos-reestructuracion-deudas","creditos-reestructuracion-deudas","derecho-bancario","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/constitucion-empresas-honduras-pasos-legales","constitucion-empresas-honduras-pasos-legales","derecho-mercantil","false","NOINDEX","0","0","INSUFFICIENT_TRAFFIC_HISTORY","No publicado y sin demanda GSC; no requiere noindex (no indexable)"
"https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-consultar-impugnar-honduras","central-riesgos-consultar-impugnar-honduras","derecho-bancario","false","NOINDEX","0","0","INSUFFICIENT_TRAFFIC_HISTORY","No publicado y sin demanda GSC; no requiere noindex (no indexable)"
"https://www.pinedayasociadoshn.com/blog/tributario/defensa-sar-choluteca","defensa-sar-choluteca","tributario","true","DATA_REQUIRED","0","0","INSUFFICIENT_TRAFFIC_HISTORY","Sin demanda GSC en 180d; NOINDEX_CANDIDATE solo con autorización"
"https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","true","KEEP","0","24","KEEP_INDEXABLE","Indexable; demanda moderada"
"https://www.pinedayasociadoshn.com/blog/derecho-aduanero/codigo-aduanero-centroamericano","codigo-aduanero-centroamericano","derecho-aduanero","true","KEEP","2","64","KEEP","Tráfico estable; sin cambio"
