url_original,url_final,status_code,redirect_chain,canonical,indexable,sitemap_included,robots_allowed,accion_recomendada,enviar_a_bing,motivo
"https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras","https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras","https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-obtener-nacionalidad-hondurena","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena",200,"Yes","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/","https://www.pinedayasociadoshn.com/",200,"No","https://www.pinedayasociadoshn.com","No","Pendiente","Sí","Descartar","No","Canonical mismatch"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-como-solicitarla","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa",200,"Yes","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras","https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/presentar-denuncia-conadeh-honduras","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/presentar-denuncia-conadeh-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/presentar-denuncia-conadeh-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/blog/practica-legal/constituir-empresa-guia-paso-a-paso-honduras","https://www.pinedayasociadoshn.com/blog/practica-legal/constituir-empresa-guia-paso-a-paso-honduras",200,"No","https://www.pinedayasociadoshn.com/blog/practica-legal/constituir-empresa-guia-paso-a-paso-honduras","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/hondurenos-en-espana","https://www.pinedayasociadoshn.com/hondurenos-en-espana",200,"No","https://www.pinedayasociadoshn.com/hondurenos-en-espana","Sí","Pendiente","Sí","Enviar","Sí","OK"
"https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo","https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo",200,"No","https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo","Sí","Pendiente","Sí","Enviar","Sí","OK"
