"dataset","path","status","canonical","robots","titleLen","titleTruncated","h1Count"
"pages","/","200","https://www.pinedayasociadoshn.com","index, follow","47","false","1"
"pages","/equipo/thania-marlene-paz","200","https://www.pinedayasociadoshn.com/equipo/thania-marlene-paz","index, follow","58","false","1"
"pages","/preguntas-frecuentes","200","https://www.pinedayasociadoshn.com/preguntas-frecuentes","index, follow","70","true","1"
"pages","/despacho","200","https://www.pinedayasociadoshn.com/despacho","index, follow","46","false","1"
"pages","/solicitar-consulta","200","https://www.pinedayasociadoshn.com/solicitar-consulta","index, follow","39","false","1"
"pages","/servicios-juridicos","200","https://www.pinedayasociadoshn.com/servicios-juridicos","index, follow","50","false","1"
"pages","/equipo/danilo-pineda-maradiaga","200","https://www.pinedayasociadoshn.com/equipo/danilo-pineda-maradiaga","index, follow","55","false","1"
"pages","/equipo/emil-barahona","200","https://www.pinedayasociadoshn.com/equipo/emil-barahona","index, follow","46","false","1"
"pages","/blog/derecho-civil/prescripcion-deudas-plazos-honduras","200","https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras","index, follow","60","true","1"
"pages","/abogados-en-choluteca","200","https://www.pinedayasociadoshn.com/abogados-en-choluteca","index, follow","39","false","1"
"pages","/abogados-en-nacaome","200","https://www.pinedayasociadoshn.com/abogados-en-nacaome","index, follow","46","false","1"
"pages","/abogados-en-pespire","200","https://www.pinedayasociadoshn.com/abogados-en-pespire","noindex, follow","42","false","1"
"pages","/blog","200","https://www.pinedayasociadoshn.com/blog","index, follow","37","false","1"
"pages","/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","200","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","index, follow","59","false","1"
