"url","municipality","office_exists","service_origin","clicks","impressions","ctr","position","content_similarity","unique_local_value","institutions_verified","decision","target","reason","production_action"
"https://www.pinedayasociadoshn.com/abogados-en-nacaome","Nacaome","yes","nuestra oficina en Nacaome","0","1","0","54","PENDING_SEMANTIC_SCORE","yes","2","KEEP_SECONDARY_OPERATIONAL","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-choluteca","Choluteca","no","nuestra oficina en Nacaome","0","6","0","7","PENDING_SEMANTIC_SCORE","yes","2","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo","San Lorenzo","no","nuestra oficina en Nacaome","0","3","0","1.5","PENDING_SEMANTIC_SCORE","yes","2","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-goascoran","Goascorán","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","2","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-pespire","Pespire","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-marcos-de-colon","San Marcos de Colón","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","2","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-marcovia","Marcovia","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-el-triunfo","El Triunfo","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","1","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-namasigue","Namasigüe","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-orocuina","Orocuina","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-amapala","Amapala","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","1","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-langue","Langue","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-caridad","Caridad","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-alianza","Alianza","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-concepcion-de-maria","Concepción de María","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-antonio-de-flores","San Antonio de Flores","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
