"url","municipality","department","office_exists","service_origin","clicks","impressions","ctr","position","content_similarity","unique_content","institutions_verified","responsible_lawyer","current_indexability","decision","target","reason","production_action"
"https://www.pinedayasociadoshn.com/abogados-en-nacaome","Nacaome","Valle","yes","nuestra oficina en Nacaome","0","1","0","54","PENDING_SEMANTIC_SCORE","yes","2","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-choluteca","Choluteca","Choluteca","no","nuestra oficina en Nacaome","0","6","0","7","PENDING_SEMANTIC_SCORE","yes","2","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo","San Lorenzo","Valle","no","nuestra oficina en Nacaome","0","3","0","1.5","PENDING_SEMANTIC_SCORE","yes","2","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-goascoran","Goascorán","Valle","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","2","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-pespire","Pespire","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-marcos-de-colon","San Marcos de Colón","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","2","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-marcovia","Marcovia","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-el-triunfo","El Triunfo","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","1","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-namasigue","Namasigüe","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-orocuina","Orocuina","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-amapala","Amapala","Valle","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","yes","1","Asignación por área de práctica","indexable","KEEP_AND_IMPROVE","","contexto e instituciones registrados","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-langue","Langue","Valle","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-caridad","Caridad","Valle","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-alianza","Alianza","Valle","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-concepcion-de-maria","Concepción de María","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
"https://www.pinedayasociadoshn.com/abogados-en-san-antonio-de-flores","San Antonio de Flores","Choluteca","no","nuestra oficina en Nacaome","0","0","0","0","PENDING_SEMANTIC_SCORE","no","0","Asignación por área de práctica","noindex_pending_unique_content","NOINDEX_UNTIL_UNIQUE","","falta valor local único demostrable","PREVIEW_ONLY"
