generated_at,2026-08-03T11:39:07.182Z
timezone,America/Tegucigalpa
environment,local
source,./docs/seo/current/internal-link-audit.csv
generator,seo:internal-link-gap-report
row_count,53
filters,status=ACTION_REQUIRED
commit,63dc2f0f

url,slug,category,problema,service_link_esperado,cluster_links_recomendados,official_sources_ausentes,accion
/blog/tributario/devolucion-impuestos-como-solicitarla-honduras,devolucion-impuestos-como-solicitarla-honduras,tributario,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Derecho Tributario y Fiscal (/servicios-juridicos/tributario-fiscal),defensa-sar-choluteca,no,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras,registro-medicamentos-productos-farmaceuticos-honduras,regulacion-sanitaria,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Regulación Sanitaria (/servicios-juridicos/regulacion-sanitaria),registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana,arraigo-social-laboral-hondurenos-espana,hondurenos-en-espana,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Hondureños en España (/hondurenos-en-espana),asuntos-familiares-honduras-espana,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras,zonas-libres-zoli-beneficios-fiscales-honduras,derecho-aduanero,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Derecho Aduanero (/servicios-juridicos/derecho-aduanero-y-comercio-exterior),codigo-aduanero-centroamericano | importaciones-san-lorenzo,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales,habilitacion-clinicas-hospitales,regulacion-sanitaria,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Regulación Sanitaria (/servicios-juridicos/regulacion-sanitaria),registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena,naturalizacion-nacionalidad-hondurena,extranjeria-migracion,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Extranjería en Honduras (/servicios-juridicos/extranjeria-en-honduras),residencia-temporal-requisitos-plazos-honduras,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras,licencia-ambiental-categorias-plazos-honduras,derecho-ambiental,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Derecho Ambiental Regulatorio (/servicios-juridicos/ambiental-regulatorio),derecho-ambiental-honduras,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/derecho-bancario/creditos-reestructuracion-deudas,creditos-reestructuracion-deudas,derecho-bancario,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Derecho Bancario y Financiero (/servicios-juridicos/derecho-bancario-y-financiero),tarjetas-credito-intereses-cargos-defensa-honduras | derechos-consumidor-financiero-honduras-cnbs,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/derecho-administrativo/contratacion-publica-licitaciones,contratacion-publica-licitaciones,derecho-administrativo,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Derecho Administrativo (/servicios-juridicos/derecho-administrativo-y-servicio-civil),expropiacion-forzosa-derechos-propietario-honduras | recurso-de-amparo-honduras-guia-completa,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras,proteccion-datos-personales-derechos-arco-honduras,derechos-ciudadanos,Todos los artículos permanecen lawyer_review_pending; no se añaden enlaces públicos hacia contenidos aún no autorizados.,Servicios Jurídicos (/servicios-juridicos),derecho-de-peticion-instituciones-honduras,si,Revisar enlaces contextuales, añadir servicio y fuentes oficiales; no añadir landings noindex.
