"path","surface_type","public","indexable","requires_auth","robots_group","allowed","disallowed","in_sitemap","http_status","canonical","redirect_destination","source_of_truth","issue","action","final_status"
"/","pages","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/","","canonical-paths.json","NONE","NONE","PASS"
"/servicios-juridicos","services","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/servicios-juridicos","","canonical-paths.json","NONE","NONE","PASS"
"/derecho-penal","services","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/derecho-penal","","canonical-paths.json","NONE","NONE","PASS"
"/equipo/danilo-pineda-maradiaga","authors","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/equipo/danilo-pineda-maradiaga","","canonical-paths.json","NONE","NONE","PASS"
"/equipo/thania-marlene-paz","authors","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/equipo/thania-marlene-paz","","canonical-paths.json","NONE","NONE","PASS"
"/equipo/emil-barahona","authors","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/equipo/emil-barahona","","canonical-paths.json","NONE","NONE","PASS"
"/guia-legal-abogados-honduras","pages","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/guia-legal-abogados-honduras","","canonical-paths.json","NONE","NONE","PASS"
"/abogado-penalista-nacaome","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogado-penalista-nacaome","","canonical-paths.json","NONE","NONE","PASS"
"/abogado-laboralista-nacaome","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogado-laboralista-nacaome","","canonical-paths.json","NONE","NONE","PASS"
"/abogado-de-familia-nacaome","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogado-de-familia-nacaome","","canonical-paths.json","NONE","NONE","PASS"
"/abogado-civil-nacaome","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogado-civil-nacaome","","canonical-paths.json","NONE","NONE","PASS"
"/abogado-penalista-choluteca","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogado-penalista-choluteca","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-nacaome","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-nacaome","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-choluteca","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-choluteca","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-san-lorenzo","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-san-lorenzo","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-goascoran","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-goascoran","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-pespire","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-pespire","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-san-marcos-de-colon","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-san-marcos-de-colon","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-marcovia","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-marcovia","","canonical-paths.json","NONE","NONE","PASS"
"/abogados-en-el-triunfo","local","true","true","false","allowed","true","false","true","VALIDATE_RUNTIME","https://www.pinedayasociadoshn.com/abogados-en-el-triunfo","","canonical-paths.json","NONE","NONE","PASS"
